gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.698,0.092,3.397,3.49,19,0
1.73,0.094,3.386,3.481,15,0
1.725,0.095,3.381,3.475,14,0
1.716,0.093,3.393,3.486,19,0
1.705,0.094,3.385,3.48,24,0
1.716,0.094,3.386,3.48,16,0
1.701,0.092,3.401,3.493,19,0
1.758,0.092,3.408,3.5,12,0
1.731,0.092,3.414,3.505,11,0
1.768,0.092,3.413,3.505,10,0
1.808,0.092,3.408,3.5,8,0
1.819,0.093,3.403,3.497,15,0
1.731,0.092,3.41,3.502,7,0
1.732,0.091,3.419,3.511,11,0
1.783,0.092,3.413,3.506,17,0
1.814,0.093,3.416,3.508,14,0
1.807,0.091,3.422,3.513,15,0
1.72,0.092,3.424,3.516,15,0
1.732,0.091,3.43,3.521,12,0
1.731,0.092,3.424,3.516,12,0
1.748,0.092,3.426,3.517,15,0
1.772,0.089,3.445,3.534,19,0
1.817,0.088,3.449,3.537,15,0
1.688,0.087,3.46,3.547,17,0
1.73,0.088,3.452,3.54,12,0
1.673,0.087,3.457,3.545,17,0
1.766,0.087,3.456,3.543,14,0
1.715,0.088,3.449,3.537,19,0
1.742,0.086,3.465,3.551,18,0
1.756,0.085,3.471,3.556,8,0
1.735,0.086,3.461,3.548,24,0
1.734,0.088,3.454,3.542,17,0
1.7,0.088,3.447,3.535,13,0
1.74,0.089,3.448,3.537,19,0
1.728,0.089,3.449,3.538,13,0
1.775,0.09,3.445,3.535,17,0
1.739,0.091,3.444,3.534,9,0
1.707,0.09,3.454,3.544,16,0
1.707,0.09,3.453,3.542,10,0
1.693,0.089,3.457,3.546,11,0
1.749,0.09,3.448,3.538,14,0
1.7,0.089,3.452,3.541,8,0
1.688,0.09,3.449,3.539,14,0
1.803,0.091,3.438,3.529,12,0
1.813,0.092,3.424,3.516,12,0
1.75,0.092,3.425,3.517,19,0
1.769,0.091,3.423,3.514,24,0
1.767,0.091,3.424,3.515,17,0
1.757,0.091,3.419,3.51,16,0
